Team,GP,GC,S,SOG,SV,CLR,CS,PK,PKG
Croatia,7,7,76,31,24,221,2,1,1
Poland,4,5,70,29,24,141,2,2,0
Netherlands,5,4,63,24,20,176,2,1,1
France,7,8,74,25,18,187,1,5,3
Serbia,3,8,47,24,16,96,0,0,0
Japan,4,4,57,19,15,162,0,1,1
Saudi Arabia,3,5,48,20,15,119,0,1,1
Australia,4,6,64,20,14,163,2,0,0
Cameroon,3,4,45,18,14,98,1,0,0
Morocco,7,5,71,17,14,239,4,0,0
Portugal,5,6,51,18,13,133,1,0,0
Switzerland,4,9,39,22,13,174,1,0,0
South Korea,4,8,44,19,12,109,1,1,1
Tunisia,3,1,28,12,11,134,2,0,0
Costa Rica,3,11,59,21,10,118,1,1,1
United States,4,4,33,14,10,134,2,1,1
Belgium,3,2,42,11,9,105,2,1,0
Ghana,3,7,41,16,9,114,0,1,1
Wales,3,6,42,15,9,128,0,0,0
Denmark,3,3,39,11,8,121,1,0,0
Spain,4,3,24,11,8,83,2,0,0
Brazil,5,3,33,10,7,107,2,0,0
Canada,3,7,25,14,7,73,0,0,0
England,5,4,43,10,7,107,3,1,1
Germany,3,5,24,10,7,51,0,0,0
Iran,3,7,31,14,7,134,1,0,0
Senegal,4,7,34,14,7,141,0,0,0
Argentina,7,8,41,13,6,243,3,2,2
Uruguay,3,2,29,7,5,140,2,2,1
Qatar,3,7,32,11,4,94,0,1,1
Ecuador,3,3,21,6,3,92,1,1,1
Mexico,3,3,20,6,3,119,1,1,0
